,Actual Gen (MW)
2971,0.0
2972,0.0
2973,0.0
2974,0.0
2975,0.0
2976,0.0
2977,0.0
2978,0.0
2979,0.0
2980,0.0
2981,0.0
2982,0.0
2983,0.0
2984,0.0
2985,0.0
2986,0.0
2987,0.0
2988,0.0
2989,0.0
2990,0.0
2991,0.0
2992,0.0
2993,0.0
2994,0.0
2995,0.24275666666666665
2996,0.7187199999999999
2997,1.893787619047619
2998,2.708164761904762
2999,4.4217257142857145
3000,5.18756761904762
3001,4.842041428571427
3002,9.476734285714288
3003,10.876183333333334
3004,12.620513333333331
3005,14.236729523809522
3006,15.184178095238094
3007,10.776784285714285
3008,10.616200000000001
3009,7.090110476190475
3010,10.497716666666665
3011,13.908090952380958
3012,12.55012
3013,11.044624761904762
3014,7.890899999999999
3015,7.630146190476192
3016,12.056029999999996
3017,8.937767142857142
3018,7.369580000000002
3019,9.890746666666667
3020,12.718292380952382
3021,9.683186666666664
3022,7.616791428571429
3023,9.074153333333333
3024,4.098588095238095
3025,8.877599523809524
3026,13.761643333333332
3027,14.503103809523806
3028,6.757499999999999
3029,12.002200476190476
3030,10.658305714285715
3031,9.27571523809524
3032,14.124253333333332
3033,11.093575238095235
3034,4.081580476190476
3035,6.685220000000001
3036,8.435640000000001
3037,8.15315380952381
3038,8.797019523809526
3039,5.338022380952381
3040,2.0389604761904763
3041,3.4804600000000008
3042,2.7673200000000002
3043,2.0548623809523807
3044,1.3727085714285718
3045,0.7322933333333335
3046,0.1488404761904762
3047,0.0
3048,0.0
3049,0.0
3050,0.0
3051,0.0
3052,0.0
3053,0.0
3054,0.0
3055,0.0
3056,0.0
3057,0.0
3058,0.0
3059,0.0
3060,0.0
3061,0.0
3062,0.0
3063,0.0
3064,0.0
3065,0.0
3066,0.0
3067,0.0
3068,0.0
3069,0.0
3070,0.0
3071,0.0
3072,0.0
3073,0.0
3074,0.0
3075,0.0
3076,0.0
3077,0.0
3078,0.0
3079,0.0
3080,0.0
3081,0.0
3082,0.0
3083,0.0
3084,0.0
3085,0.0
3086,0.0
3087,0.0
3088,0.0
3089,0.0
3090,0.0
3091,0.16553666666666667
3092,0.7984252380952381
3093,1.5790414285714285
3094,2.57988
3095,3.5615328571428573
3096,4.335499523809523
3097,5.5166876190476195
3098,6.427869523809523
3099,7.945800000000001
3100,9.765133333333335
3101,10.888764285714286
3102,11.10910857142857
3103,11.840546666666663
3104,9.40425238095238
3105,12.449395714285716
3106,13.932631904761905
3107,14.644061904761907
3108,16.81140666666667
3109,14.910098571428573
3110,15.745961904761902
3111,14.48126476190476
3112,16.33336952380952
3113,19.993737333333335
3114,15.01940095238095
3115,15.05461619047619
3116,11.476451904761907
3117,16.730173333333333
3118,18.254203333333336
3119,19.207929047619047
3120,18.791837619047616
3121,11.313669523809523
3122,14.014286666666669
3123,15.014406190476189
3124,4.962125238095237
3125,0.0
3126,11.90668476190476
3127,11.692643333333331
3128,12.221565238095238
3129,14.169370476190476
3130,10.698236666666666
3131,5.881867142857144
3132,8.100710952380952
3133,4.6086390476190475
3134,3.9277952380952383
3135,2.775706666666667
3136,1.1517761904761905
3137,2.245180952380952
3138,1.8045642857142856
3139,0.8351233333333334
3140,0.5122266666666668
3141,0.2589352380952381
3142,0.0
3143,0.0
3144,0.0
3145,0.0
3146,0.0
3147,0.0
3148,0.0
3149,0.0
3150,0.0
3151,0.0
3152,0.0
3153,0.0
3154,0.0
3155,0.0
3156,0.0
3157,0.0
3158,0.0
3159,0.0
3160,0.0
3161,0.0
3162,0.0
3163,0.0
3164,0.0
3165,0.0
3166,0.0
3167,0.0
3168,0.0
3169,0.0
3170,0.0
3171,0.0
3172,0.0
3173,0.0
3174,0.0
3175,0.0
3176,0.0
3177,0.0
3178,0.0
3179,0.0
3180,0.0
3181,0.0
3182,0.0
3183,0.0
3184,0.0
3185,0.0
3186,0.0
3187,0.03385333333333333
3188,0.5445047619047618
3189,1.199172380952381
3190,1.29406
3191,1.4056309523809523
3192,1.6672485714285714
3193,2.2033066666666663
3194,2.854256666666667
3195,4.029639047619048
3196,4.007647619047618
3197,4.645117619047619
3198,5.9794342857142855
3199,4.146498571428571
3200,4.2887200000000005
3201,7.786637619047619
3202,12.768910952380953
3203,12.272751428571427
3204,10.257048571428571
3205,9.960244285714285
3206,10.945492857142858
3207,11.18836
3208,7.472539523809523
3209,13.74515904761905
3210,16.59300238095238
3211,11.507998095238095
3212,17.500507619047625
3213,15.889846666666669
3214,16.86886904761905
3215,16.675518571428572
3216,15.151054761904762
3217,14.67603
3218,1.7819242857142856
3219,7.473080952380952
3220,13.24716142857143
3221,10.884326666666665
3222,11.470733809523812
3223,12.426556666666666
3224,12.868019523809526
3225,8.08752
3226,7.236466666666665
3227,6.581850952380953
3228,6.512576666666665
3229,6.162166190476191
3230,4.105105714285713
3231,1.18608
3232,2.9622066666666664
3233,3.0038699999999996
3234,2.13354
3235,1.3266666666666667
3236,0.70182
3237,0.42472666666666664
3238,0.07577904761904762
3239,0.0
3240,0.0
3241,0.0
3242,0.0
3243,0.0
3244,0.0
3245,0.0
3246,0.0
3247,0.0
3248,0.0
3249,0.0
3250,0.0
3251,0.0
3252,0.0
3253,0.0
3254,0.0
3255,0.0
3256,0.0
3257,0.0
3258,0.0
